Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
154	592	0	1.75509009	13.436991	13.4817032	13.4147237	13.5650133	0.150289633	0.281850754	0	0	0	0	3
155	595	0	1.76648678	13.4124565	13.4784557	13.4124565	13.5650133	0.152556846	0.281850754	0	0	0	0	3
156	598	0	1.77788347	13.4469748	13.4757834	13.4124565	13.5650133	0.152556846	0.281850754	0	0	0	0	3
157	601	0	1.78928015	13.4376385	13.4736988	13.4124565	13.5650133	0.152556846	0.281850754	0	0	0	0	3
158	605	0	1.80067684	13.4372913	13.470796	13.4124565	13.5330429	0.120586371	0.281850754	0	0	0	0	3
159	608	0	1.81207353	13.4261143	13.4686407	13.4124565	13.5330429	0.120586371	0.281850754	0	0	0	0	3
160	611	0	1.82347022	13.4474188	13.4668182	13.4124565	13.5330429	0.120586371	0.281850754	0	0	0	0	3
161	614	0	1.83486691	13.4034597	13.4640927	13.4034597	13.5330429	0.129583156	0.281850754	0	0	0	0	3
162	617	0	1.8462636	13.4274674	13.4617699	13.4034597	13.5330429	0.129583156	0.281850754	0	0	0	0	3
163	620	0	1.85766029	13.4145799	13.4595108	13.4034597	13.5330429	0.129583156	0.281850754	0	0	0	0	3
164	623	0	1.86905698	13.4245286	13.4576422	13.4034597	13.5330429	0.129583156	0.281850754	0	0	0	0	3
165	626	0	1.88045367	13.4177938	13.45506	13.4034597	13.5330429	0.129583156	0.281850754	0	0	0	0	3
166	629	0	1.89185035	13.4241771	13.4525858	13.4034597	13.5188351	0.11537539	0.281850754	0	0	0	0	3
167	633	0	1.90324704	13.391611	13.4498095	13.391611	13.5188351	0.127224087	0.281850754	0	0	0	0	3
168	636	0	1.91464373	13.4093959	13.4473708	13.391611	13.5188351	0.127224087	0.281850754	0	0	0	0	3
169	639	0	1.92604042	13.3924188	13.4445993	13.391611	13.5188351	0.127224087	0.281850754	0	0	0	0	3
170	642	0	1.93743711	13.4028602	13.4420072	13.391611	13.5188351	0.127224087	0.281850754	0	0	0	0	3
171	645	0	1.9488338	13.3879108	13.4393421	13.3879108	13.5188351	0.130924266	0.281850754	0	0	0	0	3
172	648	0	1.96023049	13.3994893	13.4366297	13.3879108	13.5172882	0.129377338	0.281850754	0	0	0	0	3
173	651	0	1.97162718	13.377532	13.4334535	13.377532	13.5013453	0.123813264	0.281850754	0	0	0	0	3
174	654	0	1.98302387	13.4000521	13.4311513	13.377532	13.491919	0.114386955	0.281850754	0	0	0	0	3
175	657	0	1.99442055	13.372195	13.4288517	13.372195	13.491919	0.119723963	0.281850754	0	0	0	0	3
176	660	0	2.00581724	13.3925211	13.4265926	13.372195	13.4794622	0.107267128	0.281850754	0	0	0	0	3
177	663	0	2.01721393	13.3814209	13.4245672	13.372195	13.4794622	0.107267128	0.281850754	0	0	0	0	3
178	666	0	2.02861062	13.3945401	13.4226371	13.372195	13.4721137	0.0999187253	0.281850754	0	0	0	0	3
179	669	0	2.04000731	13.3634688	13.420427	13.3634688	13.4721137	0.108644925	0.281850754	0	0	0	0	3
180	672	0	2.051404	13.3909515	13.4186265	13.3634688	13.4721137	0.108644925	0.281850754	0	0	0	0	3
181	676	0	2.06280069	13.3651629	13.4166761	13.3634688	13.4721137	0.108644925	0.281850754	0	0	0	0	3
182	679	0	2.07419738	13.3964995	13.4149576	13.3634688	13.4551282	0.0916593734	0.281850754	0	0	0	0	3
183	682	0	2.08559407	13.3685898	13.4131481	13.3634688	13.4551282	0.0916593734	0.281850754	0	0	0	0	3
184	685	0	2.09699075	13.3725305	13.4112709	13.3634688	13.4474188	0.0839499974	0.281850754	0	0	0	0	3
185	688	0	2.10838744	13.367863	13.4101813	13.3634688	13.4474188	0.0839499974	0.281850754	0	0	0	0	3
186	691	0	2.11978413	13.4061444	13.4094531	13.3634688	13.4474188	0.0839499974	0.281850754	0	0	0	0	3
187	694	0	2.13118082	13.3920177	13.4089371	13.3634688	13.4474188	0.0839499974	0.281850754	0	0	0	0	3
